food_group,total ,at_home,total,restaurant ,fast_food,school,other
      Children age 2Ð19,1.10,0.85,0.25,0.00,0.06,0.13,0.06
      Adults age 20Ð642,0.83,0.73,0.10,0.02,0.04,NA,0.05
      Seniors age 65 and above2,1.07,1.00,0.08,0.02,0.01,NA,0.05
      Household income < 185% poverty line,0.88,0.73,0.15,0.01,0.04,0.05,0.06
      Household income 185Ð300% poverty line,0.94,0.82,0.12,0.01,0.04,0.03,0.04
      Household income > 300% poverty line,0.97,0.85,0.12,0.01,0.04,0.01,0.05
Vegetables: total (cup),,,,,,,
   Total population1,1.39,0.90,0.49,0.17,0.23,0.01,0.08
      Children age 2Ð19,0.86,0.53,0.33,0.06,0.18,0.05,0.04
      Adults age 20Ð642,1.56,0.99,0.57,0.21,0.28,NA,0.09
      Seniors age 65 and above2,1.52,1.12,0.41,0.21,0.11,NA,0.09
      Household income < 185% poverty line,1.24,0.79,0.45,0.12,0.22,0.02,0.09
      Household income 185Ð300% poverty line,1.38,0.94,0.43,0.15,0.21,0.02,0.05
      Household income > 300% poverty line,1.53,0.99,0.54,0.23,0.23,0.01,0.07
Vegetables: potatoes (cup),,,,,,,
   Total population1,0.36,0.22,0.14,0.04,0.07,0.00,0.02
      Children age 2Ð19,0.29,0.17,0.12,0.02,0.08,0.01,0.01
      Adults age 20Ð642,0.38,0.24,0.15,0.05,0.08,NA,0.02
      Seniors age 65 and above2,0.37,0.25,0.11,0.05,0.04,NA,0.02
      Household income < 185% poverty line,0.35,0.22,0.14,0.03,0.08,0.00,0.02
      Household income 185Ð300% poverty line,0.40,0.28,0.12,0.04,0.07,0.01,0.01
      Household income > 300% poverty line,0.35,0.21,0.14,0.05,0.07,0.00,0.01
Vegetables: tomatoes (cup),,,,,,,
   Total population1,0.26,0.16,0.09,0.03,0.05,0.00,0.01
      Children age 2Ð19,0.19,0.11,0.08,0.01,0.04,0.01,0.01
      Adults age 20Ð642,0.28,0.17,0.11,0.03,0.06,NA,0.02
      Seniors age 65 and above2,0.27,0.20,0.07,0.04,0.02,NA,0.01
      Household income < 185% poverty line,0.23,0.15,0.08,0.02,0.04,0.01,0.01
      Household income 185Ð300% poverty line,0.23,0.14,0.08,0.02,0.05,0.00,0.01
      Household income > 300% poverty line,0.29,0.18,0.11,0.04,0.05,0.00,0.02
Vegetables: red and orange without tomatoes (cup),,,,,,,
   Total population1,0.09,0.07,0.03,0.01,0.01,0.00,0.01
      Children age 2Ð19,0.06,0.04,0.02,0.00,0.01,0.01,0.00
      Adults age 20Ð642,0.10,0.07,0.03,0.01,0.01,NA,0.01
      Seniors age 65 and above2,0.12,0.10,0.02,0.01,0.00,NA,0.01
      Household income < 185% poverty line,0.07,0.05,0.03,0.01,0.01,0.00,0.01
      Household income 185Ð300% poverty line,0.09,0.07,0.02,0.01,0.01,0.00,0.00
      Household income > 300% poverty line,0.12,0.08,0.03,0.01,0.01,0.00,0.01
Vegetables: dark green (cup),,,,,,,
   Total population1,0.14,0.10,0.04,0.02,0.01,0.00,0.01
      Children age 2Ð19,0.06,0.05,0.02,0.01,0.01,0.00,0.00
      Adults age 20Ð642,0.17,0.12,0.05,0.02,0.02,NA,0.01
      Seniors age 65 and above2,0.14,0.12,0.02,0.01,0.00,NA,0.00
      Household income < 185% poverty line,0.11,0.07,0.03,0.01,0.01,0.00,0.01
      Household income 185Ð300% poverty line,0.12,0.10,0.03,0.01,0.01,0.00,0.00
      Household income > 300% poverty line,0.18,0.13,0.05,0.03,0.02,0.00,0.00
Grains: total (oz),,,,,,,
   Total population1,6.64,4.28,2.36,0.54,1.32,0.11,0.40
      Children age 2Ð19,6.75,4.37,2.38,0.28,1.20,0.46,0.44
      Adults age 20Ð642,6.81,4.22,2.59,0.65,1.55,NA,0.40
      Seniors age 65 and above2,5.79,4.35,1.43,0.51,0.59,NA,0.33
      Household income < 185% poverty line,6.69,4.43,2.26,0.38,1.30,0.16,0.42
      Household income 185Ð300% poverty line,6.66,4.52,2.14,0.41,1.29,0.12,0.32
      Household income > 300% poverty line,6.58,4.04,2.54,0.74,1.34,0.06,0.41
Grains: refined (oz),,,,,,,
   Total population1,5.79,3.55,2.24,0.52,1.28,0.08,0.37
      Children age 2Ð19,5.90,3.72,2.18,0.27,1.16,0.34,0.41
      Adults age 20Ð642,6.03,3.53,2.50,0.62,1.50,NA,0.37
      Seniors age 65 and above2,4.72,3.35,1.37,0.48,0.58,NA,0.31
      Household income < 185% poverty line,5.92,3.80,2.12,0.35,1.27,0.12,0.39
      Household income 185Ð300% poverty line,5.82,3.76,2.06,0.41,1.26,0.09,0.30
      Household income > 300% poverty line,5.67,3.24,2.43,0.71,1.29,0.04,0.38
Grains: whole (oz),,,,,,,
   Total population1,0.84,0.73,0.12,0.02,0.04,0.03,0.02
      Children age 2Ð19,0.85,0.64,0.20,0.01,0.04,0.13,0.02
      Adults age 20Ð642,0.78,0.69,0.10,0.02,0.05,NA,0.02
      Seniors age 65 and above2,1.06,1.00,0.06,0.03,0.01,NA,0.02
      Household income < 185% poverty line,0.77,0.63,0.13,0.03,0.04,0.05,0.02
      Household income 185Ð300% poverty line,0.85,0.76,0.09,0.00,0.03,0.03,0.02
      Household income > 300% poverty line,0.91,0.80,0.11,0.03,0.05,0.01,0.03
Protein foods (oz),,,,,,,
   Total population1,5.84,3.80,2.04,0.67,0.97,0.04,0.35
      Children age 2Ð19,4.28,2.75,1.52,0.29,0.78,0.19,0.26
      Adults age 20Ð642,6.46,4.10,2.36,0.80,1.18,NA,0.38
      Seniors age 65 and above2,5.82,4.24,1.58,0.73,0.48,NA,0.37
      Household income < 185% poverty line,5.39,3.49,1.91,0.48,1.02,0.07,0.34
      Household income 185Ð300% poverty line,5.85,4.06,1.79,0.52,0.99,0.04,0.24
      Household income > 300% poverty line,6.27,4.01,2.25,0.90,0.93,0.02,0.40
,,,,,,,

