food_group,total,at_home,total_away_from_home,resturant,fast food,school,other,,,,,,,
      Household income 185Ð300% poverty line,1.67,1.20,0.47,0.08,0.24,0.07,0.08,,,,,,,
      Household income > 300% poverty line,1.63,1.13,0.50,0.12,0.28,0.03,0.06,,,,,,,
Fruit (cup),,,,,,,,,,,,,,
   Total population1,0.94,0.80,0.15,0.03,0.03,0.03,0.05,,,,,,,
      Children age 2Ð19,0.96,0.71,0.26,0.02,0.03,0.14,0.07,,,,,,,
      Adults age 20Ð642,0.91,0.78,0.13,0.03,0.04,NA,0.05,,,,,,,
      Seniors age 65 and above2,1.05,0.99,0.06,0.01,0.01,NA,0.04,,,,,,,
      Household income < 185% poverty line,0.95,0.77,0.19,0.04,0.03,0.05,0.07,,,,,,,
      Household income 185Ð300% poverty line,0.85,0.71,0.13,0.01,0.03,0.03,0.05,,,,,,,
      Household income > 300% poverty line,0.98,0.86,0.11,0.02,0.04,0.01,0.04,,,,,,,
Vegetables: total (cup),,,,,,,,,,,,,,
   Total population1,1.40,0.92,0.47,0.16,0.22,0.02,0.08,,,,,,,
      Children age 2Ð19,0.90,0.56,0.33,0.06,0.14,0.07,0.06,,,,,,,
      Adults age 20Ð642,1.57,1.02,0.55,0.19,0.27,NA,0.08,,,,,,,
      Seniors age 65 and above2,1.49,1.10,0.39,0.19,0.10,NA,0.10,,,,,,,
      Household income < 185% poverty line,1.26,0.86,0.40,0.11,0.17,0.03,0.08,,,,,,,
      Household income 185Ð300% poverty line,1.38,0.95,0.43,0.15,0.19,0.02,0.07,,,,,,,
      Household income > 300% poverty line,1.54,0.97,0.56,0.21,0.26,0.01,0.08,,,,,,,
Vegetables: potatoes (cup),,,,,,,,,,,,,,
   Total population1,0.35,0.22,0.13,0.04,0.06,0.00,0.02,,,,,,,
      Children age 2Ð19,0.30,0.18,0.12,0.02,0.05,0.02,0.03,,,,,,,
      Adults age 20Ð642,0.37,0.22,0.15,0.05,0.08,NA,0.02,,,,,,,
      Seniors age 65 and above2,0.35,0.26,0.09,0.04,0.02,NA,0.03,,,,,,,
      Household income < 185% poverty line,0.33,0.22,0.12,0.03,0.05,0.01,0.03,,,,,,,
      Household income 185Ð300% poverty line,0.38,0.26,0.13,0.04,0.06,0.00,0.02,,,,,,,
      Household income > 300% poverty line,0.35,0.21,0.15,0.04,0.08,0.00,0.02,,,,,,,
Vegetables: tomatoes (cup),,,,,,,,,,,,,,
   Total population1,0.26,0.16,0.10,0.03,0.05,0.00,0.01,,,,,,,
      Children age 2Ð19,0.20,0.12,0.08,0.01,0.04,0.01,0.01,,,,,,,
      Adults age 20Ð642,0.28,0.17,0.11,0.04,0.06,NA,0.01,,,,,,,
      Seniors age 65 and above2,0.27,0.19,0.08,0.04,0.02,NA,0.02,,,,,,,
      Household income < 185% poverty line,0.24,0.15,0.08,0.02,0.04,0.01,0.01,,,,,,,
      Household income 185Ð300% poverty line,0.25,0.16,0.09,0.03,0.04,0.00,0.01,,,,,,,
      Household income > 300% poverty line,0.28,0.17,0.11,0.04,0.06,0.00,0.01,,,,,,,
Vegetables: red and orange without tomatoes (cup),,,,,,,,,,,,,,
   Total population1,0.09,0.07,0.02,0.01,0.01,0.00,0.01,,,,,,,
      Children age 2Ð19,0.06,0.04,0.02,0.00,0.00,0.01,0.00,,,,,,,
      Adults age 20Ð642,0.10,0.08,0.02,0.01,0.01,NA,0.01,,,,,,,
      Seniors age 65 and above2,0.09,0.08,0.02,0.01,0.00,NA,0.00,,,,,,,
      Household income < 185% poverty line,0.08,0.06,0.02,0.01,0.00,0.00,0.00,,,,,,,
      Household income 185Ð300% poverty line,0.12,0.10,0.02,0.01,0.01,0.00,0.01,,,,,,,
      Household income > 300% poverty line,0.10,0.07,0.03,0.01,0.01,0.00,0.00,,,,,,,
Vegetables: dark green (cup),,,,,,,,,,,,,,
   Total population1,0.14,0.10,0.04,0.02,0.01,0.00,0.01,,,,,,,
      Children age 2Ð19,0.06,0.04,0.02,0.00,0.01,0.01,0.00,,,,,,,
      Adults age 20Ð642,0.17,0.12,0.05,0.02,0.02,NA,0.01,,,,,,,
      Seniors age 65 and above2,0.16,0.13,0.04,0.03,0.00,NA,0.01,,,,,,,
      Household income < 185% poverty line,0.12,0.09,0.02,0.01,0.01,0.00,0.01,,,,,,,
      Household income 185Ð300% poverty line,0.11,0.07,0.03,0.02,0.01,0.00,0.00,,,,,,,
      Household income > 300% poverty line,0.19,0.12,0.06,0.03,0.03,0.00,0.01,,,,,,,
Grains: total (oz),,,,,,,,,,,,,,
   Total population1,6.44,4.15,2.29,0.57,1.21,0.12,0.39,,,,,,,
      Children age 2Ð19,6.75,4.24,2.51,0.41,1.16,0.52,0.42,,,,,,,
      Adults age 20Ð642,6.57,4.13,2.44,0.65,1.41,NA,0.39,,,,,,,
      Seniors age 65 and above2,5.48,4.09,1.38,0.52,0.52,NA,0.34,,,,,,,
      Household income < 185% poverty line,6.50,4.33,2.16,0.42,1.12,0.18,0.44,,,,,,,
      Household income 185Ð300% poverty line,6.29,4.14,2.15,0.48,1.15,0.13,0.39,,,,,,,
      Household income > 300% poverty line,6.45,3.97,2.47,0.75,1.32,0.07,0.33,,,,,,,
Grains: refined (oz),,,,,,,,,,,,,,
   Total population1,5.53,3.39,2.14,0.54,1.16,0.09,0.35,,,,,,,
      Children age 2Ð19,5.88,3.59,2.30,0.40,1.15,0.36,0.38,,,,,,,
      Adults age 20Ð642,5.68,3.39,2.29,0.60,1.35,NA,0.34,,,,,,,
      Seniors age 65 and above2,4.41,3.11,1.30,0.49,0.50,NA,0.31,,,,,,,
      Household income < 185% poverty line,5.69,3.66,2.03,0.40,1.09,0.13,0.41,,,,,,,
      Household income 185Ð300% poverty line,5.36,3.38,1.98,0.46,1.11,0.08,0.33,,,,,,,
      Household income > 300% poverty line,5.44,3.13,2.31,0.70,1.26,0.05,0.30,,,,,,,
Grains: whole (oz),,,,,,,,,,,,,,
   Total population1,0.91,0.76,0.15,0.04,0.04,0.04,0.04,,,,,,,
      Children age 2Ð19,0.87,0.65,0.21,0.01,0.02,0.16,0.03,,,,,,,
      Adults age 20Ð642,0.89,0.74,0.15,0.05,0.06,NA,0.04,,,,,,,
      Seniors age 65 and above2,1.07,0.99,0.08,0.03,0.02,NA,0.03,,,,,,,
      Household income < 185% poverty line,0.81,0.67,0.14,0.02,0.03,0.05,0.03,,,,,,,
      Household income 185Ð300% poverty line,0.94,0.76,0.17,0.03,0.04,0.05,0.06,,,,,,,
      Household income > 300% poverty line,1.01,0.84,0.16,0.05,0.06,0.02,0.03,,,,,,,
Protein foods (oz),,,,,,,,,,,,,,
   Total population1,5.80,3.79,2.00,0.68,0.90,0.07,0.35,,,,,,,
      Children age 2Ð19,4.15,2.51,1.63,0.39,0.66,0.27,0.31,,,,,,,
      Adults age 20Ð642,6.60,4.28,2.32,0.82,1.12,NA,0.38,,,,,,,
      Seniors age 65 and above2,5.26,3.90,1.36,0.59,0.45,NA,0.32,,,,,,,
      Household income < 185% poverty line,5.40,3.62,1.78,0.54,0.78,0.10,0.37,,,,,,,
      Household income 185Ð300% poverty line,5.67,3.84,1.83,0.58,0.82,0.06,0.37,,,,,,,
      Household income > 300% poverty line,6.23,3.94,2.29,0.86,1.06,0.04,0.33,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,

